Date/Time	Run	TPN	Comment	SC1Mod4/ai0	VWT_Ps	VWT_Q	VWT_PREF	PSI8400_101	PSI8400_102	PSI8400_103	PSI8400_104	PSI8400_105	PSI8400_106	PSI8400_107	PSI8400_108	PSI8400_109	PSI8400_110	PSI8400_111	PSI8400_112	PSI8400_113	PSI8400_114	PSI8400_115	PSI8400_116	PSI8400_117	PSI8400_118	PSI8400_119	PSI8400_120	PSI8400_121	PSI8400_122	PSI8400_123	PSI8400_124	PSI8400_125	PSI8400_126	PSI8400_127	PSI8400_128	PSI8400_129	PSI8400_130	PSI8400_131	PSI8400_132	PSI8400_201	PSI8400_202	PSI8400_203	PSI8400_204	PSI8400_205	PSI8400_206	PSI8400_207	PSI8400_208	PSI8400_209	PSI8400_210	PSI8400_211	PSI8400_212	PSI8400_213	PSI8400_214	PSI8400_215	PSI8400_216	PSI8400_217	PSI8400_218	PSI8400_219	PSI8400_220	PSI8400_221	PSI8400_222	PSI8400_223	PSI8400_224	PSI8400_225	PSI8400_226	PSI8400_227	PSI8400_228	PSI8400_229	PSI8400_230	PSI8400_231	PSI8400_232	T0TS	QTS	PSTS	VTS	RN
				Deg F	PSIA	PSI	PSIA	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	DegR	PSF	PSFA	Ft/Sec	
08022017 12:32:51.280226	1	1	WindOff	77.31333	14.30658	-0.000059	14.3069	-0.000065	-0.00006	-0.000009	-0.000051	-0.000048	0.000004	0.000003	-0.000181	-0.000009	-0.000009	0.092059	0.000015	0.000061	-0.000073	-0.000022	0.000045	0.000004	-0.000036	-0.000046	-0.00011	0.000108	0.00011	0.000042	-0.000009	-0.000009	-0.000022	0.000018	-0.000074	0.000018	0.000058	0.000095	-0.000086	-0.000037	-0.000009	-0.000065	-0.000065	0.000019	-0.00008	-0.000022	-0.00008	-0.000037	-0.000094	-0.00009	-0.000077	-0.000035	-0.00005	-0.000089	-0.000023	-0.000037	-0.000063	-0.000092	-0.000094	-0.000009	-0.000037	-0.000009	-0.000009	0.092017	-0.000037	-0.000051	-0.000065	-0.000037	-0.000035	-0.000066	-0.000063	536.98333	-0.008099	2060.14752	NaN	NaN
08022017 12:33:05.280226	1	2	WindOff	77.427445	14.30664	-0.000074	14.30694	-0.000079	-0.000073	-0.000023	-0.000037	-0.000061	0.000004	0.000003	-0.000168	-0.000037	-0.000022	0.092524	0.000015	0.000047	-0.000073	-0.000048	0.000032	-0.000022	-0.000062	-0.000071	-0.000148	0.000095	0.00011	0.000055	0.000054	0.000005	-0.000009	0.000005	-0.000061	0.000032	0.000045	0.000108	-0.00006	-0.000037	-0.000009	-0.000093	-0.000051	0.000005	-0.000094	-0.000009	-0.000094	-0.000037	-0.00008	-0.000077	-0.000077	-0.000022	-0.000022	-0.000089	-0.000009	-0.000052	-0.000077	-0.000078	-0.000094	-0.000009	-0.000023	-0.000037	-0.000009	0.092469	-0.000037	-0.000051	-0.000093	-0.000051	-0.000062	-0.00008	-0.00005	537.097445	-0.010151	2060.15616	NaN	NaN
08022017 12:33:15.280226	1	3	WindOff	77.441931	14.3065	-0.000073	9.78414	-0.000093	-0.000073	-0.000065	-0.00008	-0.000087	-0.000009	-0.000009	-0.000194	-0.000023	-0.00005	0.092876	0.000027	0.000033	-0.000112	-0.000075	0.000005	-0.000034	-0.000102	-0.000058	-0.000136	0.000082	0.000084	0.000017	-0.000009	-0.000022	-0.000009	0.000031	-0.0001	0.000032	0.000005	0.000095	-0.000111	-0.000092	-0.000036	-0.000107	-0.000079	-0.000037	-0.000137	-0.000022	-0.000094	-0.000051	-0.000094	-0.00009	-0.000132	-0.000048	-0.00005	-0.000116	-0.000023	-0.000066	-0.000077	-0.000106	-0.000136	-0.000009	-0.000037	-0.000037	-0.000009	0.092829	-0.000078	-0.000051	-0.000079	-0.000079	-0.000062	-0.000094	-0.000077	537.111931	-0.009932	2060.136	NaN	NaN
08022017 12:33:29.280226	1	4	WindOff	77.408375	14.30662	-0.000073	14.30692	-0.000093	-0.000073	-0.000023	-0.00008	-0.000074	-0.000016	-0.000021	-0.000215	-0.000016	-0.000029	0.092707	0.000021	0.000033	-0.000105	-0.000041	0.000025	-0.000047	-0.000075	-0.000064	-0.00013	0.000095	0.000097	0.000029	-0.000003	-0.000022	0.000005	0.000031	-0.000107	0.000011	0.000045	0.000095	-0.000092	-0.000064	-0.000016	-0.000086	-0.000065	-0.000009	-0.000115	-0.000022	-0.000087	-0.00003	-0.000115	-0.000103	-0.000084	-0.000035	-0.000057	-0.000109	-0.000023	-0.00008	-0.000077	-0.000071	-0.000143	-0.000016	-0.000044	-0.000037	-0.000016	0.092669	-0.000071	-0.00008	-0.000072	-0.000058	-0.000069	-0.000087	-0.000091	537.078375	-0.010041	2060.15328	NaN	NaN
08022017 12:34:25.280226	1	5	WindOff	77.387269	14.3063	-0.000075	14.3066	-0.000051	-0.000064	0.000041	-0.000013	-0.000069	0.000042	-0.000007	-0.000167	0.000004	-0.000007	0.092538	0.000026	0.000051	-0.000084	-0.000029	0.000087	-0.000024	-0.000014	-0.000029	-0.000078	0.000073	0.000112	0.000028	0.00004	-0.000026	0.00002	0.000045	-0.000103	-0.000021	0.000032	0.000109	-0.000076	-0.000053	-0.000005	-0.000112	-0.000066	-0.000012	-0.000119	-0.000009	-0.000077	-0.000048	-0.0001	-0.000081	-0.000096	-0.000028	-0.00004	-0.000115	-0.000013	-0.000072	-0.000081	-0.000096	-0.000112	-0.000007	-0.000031	-0.000034	-0.000003	0.092515	-0.000061	-0.000071	-0.000077	-0.000051	-0.000056	-0.00011	-0.000054	537.057269	-0.010205	2060.1072	NaN	NaN
08022017 12:37:10.280226	1	6	Windoff	77.528719	14.3058	-0.000072	14.30616	-0.00003	-0.000072	0.000128	0.000138	-0.000016	0.000126	0.000003	-0.000062	-0.000004	0.000011	0.089689	0.000021	-0.000026	-0.000008	0.000006	0.000143	-0.000065	0.000065	0.000079	0.000068	-0.000028	0.000049	-0.000011	0.000091	-0.00003	0.000042	0.000023	-0.000012	-0.000079	0.000022	0.000074	-0.000019	-0.000076	0.000004	-0.000089	-0.00007	-0.000047	-0.000113	-0.00001	-0.00005	-0.000053	-0.000078	-0.000074	-0.000067	-0.000037	-0.000024	-0.000069	-0.000005	-0.00005	-0.000058	-0.000071	-0.000052	-0.000013	-0.000024	-0.000039	-0.000019	0.089767	-0.000047	0.000001	-0.000063	-0.000038	-0.000029	-0.000053	-0.000034	537.198719	-0.009795	2060.0352	NaN	NaN
08022017 12:45:59.280226	2	7	Station13-50fps-5sec	78.165911	14.30234	0.020439	14.2946	0.008059	-0.010873	0.00786	-0.010446	0.007836	-0.010502	0.007528	-0.010056	0.00779	-0.01043	0.095572	0	0.007815	-0.010268	0.008103	-0.010145	0.007736	-0.010475	0.007978	-0.009954	0.007827	-0.010199	0.007561	-0.009993	0.007614	-0.010075	0.007708	-0.010007	0.007691	-0.010102	0.00766	-0.010051	0.007613	-0.010226	0.007272	-0.010281	0.007396	-0.010405	0.000014	0.00008	0.007598	-0.01046	0.007663	-0.010728	0.000001	0.000055	0.000098	0.00003	0.000049	-0.000022	0.00004	0.000082	0.000006	0.00002	0.000023	0.000016	0.09575	0.000042	0.000117	0.000046	0.000044	0.00008	0.000138	0.000097	537.835911	1956.560112	2058.4224	1174.734442	8811116.881
08022017 12:46:23.280226	2	8	Station13-50fps-10sec	78.219796	14.3021	0.020465	14.29458	0.008073	-0.010896	0.007892	-0.010463	0.007837	-0.010516	0.007658	-0.01007	0.007919	-0.01046	0.096048	0.000001	0.007793	-0.01028	0.008088	-0.010168	0.007746	-0.010484	0.007941	-0.009955	0.007785	-0.01023	0.007525	-0.010015	0.007611	-0.010095	0.00765	-0.010036	0.00763	-0.010145	0.007603	-0.010077	0.007624	-0.010268	0.007307	-0.010332	0.00739	-0.010451	0.000016	0.000067	0.007599	-0.010514	0.007616	-0.010761	-0.000001	0.000046	0.000091	0.000029	0.000052	-0.000017	0.000045	0.000085	-0.000001	0.000019	0.000028	0.000011	0.096227	0.000039	0.000106	0.000045	0.000048	0.00008	0.000136	0.000099	537.889796	1955.498544	2.946946	2535.390602	4080281.155
08022017 12:46:42.280226	2	9	Station13-50fps-15sec	78.254497	14.301987	0.02044	12.03562	0.008017	-0.010884	0.007852	-0.010434	0.007792	-0.010505	0.007677	-0.010057	0.007933	-0.010445	0.096505	-0.000011	0.007815	-0.010265	0.008052	-0.010155	0.007688	-0.01047	0.00795	-0.009947	0.00778	-0.010226	0.007497	-0.009998	0.007589	-0.010094	0.007612	-0.010011	0.00761	-0.010137	0.007477	-0.010065	0.007578	-0.010243	0.007301	-0.010306	0.007413	-0.010436	0.000017	0.000067	0.007598	-0.010502	0.007565	-0.010743	0	0.000043	0.00008	0.000028	0.000044	-0.000022	0.000038	0.000071	0.000003	0.000012	0.000022	0.000011	0.096698	0.000036	0.000094	0.000038	0.000046	0.000075	0.000121	0.000091	537.924497	1646.472816	2.943312	2534.234596	3437044.999
08022017 12:47:25.280226	2	10	Station13-50fps-20sec	78.380706	14.302375	0.020494	14.294825	0.008118	-0.010883	0.007968	-0.010428	0.00791	-0.010496	0.00764	-0.010027	0.007874	-0.010428	0.096886	-0.000002	0.007755	-0.01025	0.008177	-0.010139	0.007766	-0.010467	0.008015	-0.00992	0.007847	-0.010231	0.007574	-0.009998	0.007625	-0.010094	0.007677	-0.010008	0.007724	-0.010141	0.007573	-0.01006	0.007608	-0.010262	0.007314	-0.010335	0.007449	-0.010466	0.000017	0.000061	0.007631	-0.010544	0.00767	-0.010791	0.000001	0.000048	0.000078	0.000026	0.000038	-0.000019	0.000036	0.000062	0.000009	0.000018	0.000025	0.000025	0.097079	0.00004	0.000087	0.000038	0.000043	0.000066	0.000116	0.000088	538.050706	1955.53206	2.951093	2535.76056	4079755.78
08022017 12:48:09.280226	2	11	Station13-50fps-30sec	78.464255	14.302497	0.020592	13.918407	0.008125	-0.010895	0.007966	-0.010433	0.007931	-0.010504	0.007709	-0.010004	0.007986	-0.010434	0.097624	-0.000007	0.007851	-0.010232	0.008179	-0.01013	0.007769	-0.010463	0.008065	-0.009894	0.007863	-0.010226	0.007591	-0.009985	0.007691	-0.010078	0.007699	-0.009977	0.007733	-0.010122	0.00762	-0.010025	0.00766	-0.010253	0.007381	-0.010315	0.007485	-0.010451	0.000016	0.000051	0.00766	-0.010534	0.007603	-0.010788	0.00001	0.000042	0.000061	0.000034	0.000033	-0.000018	0.000024	0.000048	0.00001	0.000019	0.000023	0.000026	0.097823	0.000032	0.000074	0.000032	0.00004	0.000072	0.000103	0.000077	538.134255	1904.038032	2.965186	2535.744607	3972350.644
08022017 12:52:22.280226	2	12	Station13-95fps-5sec	79.71531	14.2969	0.070393	14.27166	0.025924	-0.039583	0.024902	-0.038432	0.024907	-0.03827	0.024102	-0.036851	0.024846	-0.037915	0.114198	0.000101	0.024755	-0.037331	0.025771	-0.037078	0.025056	-0.037983	0.025702	-0.036546	0.025629	-0.037234	0.024921	-0.036573	0.02485	-0.036788	0.024853	-0.036615	0.024881	-0.037049	0.024331	-0.03675	0.024523	-0.037262	0.023756	-0.037544	0.023843	-0.037915	0.000079	0.00021	0.024285	-0.038339	0.024267	-0.039288	0.000051	0.000135	0.000209	0.000078	0.000133	0.000051	0.000125	0.00023	0.000041	0.000083	0.000092	0.000065	0.114542	0.000136	0.000301	0.000127	0.000125	0.000181	0.000333	0.00024	539.38531	1952.363088	10.136534	2522.781249	4094100.153
08022017 12:52:35.280226	2	13	Station13-95fps-10sec	79.896861	14.29702	0.070746	14.27161	0.025952	-0.039503	0.024987	-0.038314	0.024892	-0.038209	0.024145	-0.036808	0.024885	-0.03791	0.112693	0.00008	0.024932	-0.037306	0.025888	-0.037066	0.025014	-0.037942	0.025807	-0.036476	0.025608	-0.037275	0.024857	-0.036564	0.024825	-0.036795	0.024755	-0.036582	0.024592	-0.037048	0.024152	-0.036701	0.024425	-0.037254	0.023771	-0.037511	0.023946	-0.037866	0.00006	0.000226	0.024356	-0.03824	0.024497	-0.039131	0.000034	0.000131	0.000237	0.000067	0.000139	0.000042	0.000127	0.000257	0.000011	0.000074	0.000073	0.00003	0.113095	0.00013	0.000317	0.000125	0.000116	0.000186	0.000351	0.000248	539.566861	1952.356248	10.187438	2523.092638	4093580.536
08022017 12:52:59.280226	2	14	Station13-95fps-15sec	80.169516	14.297027	0.070376	14.27154	0.026219	-0.039412	0.025199	-0.038075	0.025101	-0.038047	0.024447	-0.036599	0.025246	-0.037795	0.109973	0.000089	0.024993	-0.037102	0.026002	-0.0369	0.025105	-0.037761	0.026	-0.036247	0.025539	-0.037225	0.024829	-0.036414	0.024795	-0.036698	0.024835	-0.036441	0.024617	-0.036995	0.024099	-0.036555	0.024352	-0.037197	0.023581	-0.037454	0.02386	-0.037812	0.000082	0.000297	0.024519	-0.038161	0.024636	-0.039076	0.000065	0.000176	0.000327	0.000094	0.00019	0.000069	0.000186	0.000364	0.000027	0.000101	0.0001	0.000048	0.110462	0.000173	0.000403	0.000183	0.000163	0.000254	0.000464	0.000329	539.839516	1952.346672	10.134182	2523.848255	4092334.884
08022017 12:53:29.280226	2	15	Station13-95fps-20sec	80.424232	14.2967	0.070483	13.707825	0.026079	-0.039387	0.025105	-0.037902	0.025144	-0.037936	0.024256	-0.036382	0.025031	-0.037729	0.106563	0.00008	0.02488	-0.036933	0.026125	-0.036756	0.025111	-0.037634	0.026088	-0.036005	0.025459	-0.037216	0.024862	-0.036305	0.024896	-0.036633	0.024804	-0.03629	0.024693	-0.036955	0.024288	-0.036402	0.024523	-0.037157	0.023762	-0.037399	0.023925	-0.037748	0.000082	0.000362	0.024356	-0.038066	0.024517	-0.039012	0.000056	0.000208	0.000406	0.000085	0.000233	0.000089	0.000228	0.000455	0.000004	0.000105	0.000105	0.000044	0.107153	0.000214	0.000494	0.000228	0.000181	0.000303	0.000575	0.000396	540.094232	1875.23046	10.149602	2523.48227	3931260.836
08022017 12:54:02.280226	2	16	Station13-95fps-30sec	80.648851	14.296223	0.06353	14.27125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	540.318851	8.690877	2058.65616	88.432056	519913.7848
08022017 12:54:42.280226	2	17	Station13-95fps-30sec	80.867088	10.502852	3.852571	14.277963	0.026264	-0.039287	0.025436	-0.037521	0.025448	-0.03775	0.024225	-0.035937	0.025088	-0.037608	0.098723	0.000038	0.024714	-0.036594	0.026332	-0.036564	0.025151	-0.037421	0.026284	-0.035525	0.025281	-0.037282	0.024744	-0.036144	0.024889	-0.036561	0.024747	-0.036003	0.024651	-0.036923	0.024087	-0.036094	0.024542	-0.037124	0.023827	-0.037299	0.023852	-0.037605	0.000099	0.000531	0.024541	-0.037819	0.024743	-0.038828	0.000055	0.000295	0.000622	0.000101	0.000335	0.000127	0.000341	0.000664	-0.000031	0.000123	0.000135	0.000035	0.099519	0.000295	0.00068	0.000335	0.000246	0.000428	0.00083	0.000563	540.537088	1953.225384	554.770214	1804.596684	5725977.98
08022017 12:59:19.280226	2	18	Station13-140fps-5sec	83.651288	14.2875	0.151733	14.23448	0.054668	-0.084902	0.052161	-0.082061	0.052917	-0.082222	0.050792	-0.078117	0.052293	-0.081308	0.112718	-0.000152	0.051833	-0.079517	0.05497	-0.079714	0.052924	-0.081422	0.054789	-0.077729	0.053646	-0.081029	0.052997	-0.079008	0.052702	-0.079382	0.051665	-0.078018	0.052075	-0.079617	0.050929	-0.078169	0.051892	-0.080205	0.050214	-0.08056	0.050132	-0.081067	0.00015	0.00109	0.051257	-0.081712	0.052377	-0.083986	0.000053	0.000568	0.001315	0.000113	0.000693	0.000237	0.00076	0.001263	-0.000123	0.000215	0.00022	0.000038	0.114031	0.000586	0.001172	0.000674	0.000483	0.00087	0.001704	0.001127	543.321288	20.75702	2057.4	136.972376	801695.5547
08022017 12:59:44.280226	2	19	Station13-140fps-10sec	84.364361	14.28666	0.151488	14.23427	0.05469	-0.08455	0.052141	-0.081765	0.05309	-0.081939	0.051027	-0.077785	0.052802	-0.080976	0.114115	-0.000163	0.051825	-0.079198	0.055207	-0.079448	0.053352	-0.081158	0.054723	-0.077411	0.053941	-0.080756	0.052662	-0.078763	0.052635	-0.079115	0.051742	-0.077683	0.052222	-0.079323	0.050276	-0.077817	0.051616	-0.07991	0.05009	-0.080216	0.05001	-0.080725	0.000173	0.001115	0.051598	-0.081388	0.052401	-0.083657	0.000092	0.000623	0.001393	0.000163	0.000722	0.000274	0.000794	0.001296	-0.000105	0.000218	0.000238	0.000065	0.11546	0.000619	0.001204	0.000723	0.000505	0.000899	0.001755	0.001148	544.034361	20.723531	2057.27904	136.955952	800498.1142
08022017 13:00:09.280226	2	20	Station13-140fps-15sec	84.929112	14.288933	0.152058	12.736533	0.054382	-0.084497	0.051979	-0.081753	0.052803	-0.081989	0.050605	-0.077772	0.052614	-0.08099	0.115623	-0.00021	0.051649	-0.079179	0.055388	-0.079507	0.053398	-0.081231	0.054761	-0.077399	0.053738	-0.080761	0.052901	-0.078792	0.052896	-0.079148	0.051846	-0.077671	0.052267	-0.079363	0.050556	-0.07782	0.051725	-0.079965	0.050172	-0.08023	0.050264	-0.080705	0.00016	0.001117	0.05174	-0.081386	0.052539	-0.083681	0.000071	0.00062	0.001408	0.000153	0.00073	0.000265	0.000799	0.0013	-0.000109	0.000213	0.000236	0.000064	0.11696	0.000617	0.001189	0.000724	0.000508	0.000897	0.001757	0.001152	544.599112	20.80158	2057.6064	137.273181	801656.0886
08022017 13:00:29.280226	2	21	Station13-140fps-20sec	85.278895	11.46088	0.113028	13.683375	0.054334	-0.084389	0.051881	-0.081695	0.052717	-0.081923	0.050438	-0.077676	0.052271	-0.080892	0.117076	-0.000241	0.051223	-0.079098	0.054983	-0.079456	0.053238	-0.081199	0.054531	-0.077353	0.053619	-0.080714	0.052591	-0.078769	0.052568	-0.079124	0.051518	-0.077607	0.051856	-0.079305	0.050089	-0.077742	0.051463	-0.079904	0.050032	-0.080142	0.050019	-0.080601	0.000164	0.001113	0.051348	-0.08127	0.051907	-0.083601	0.000066	0.000616	0.001418	0.000142	0.000732	0.000269	0.000801	0.00128	-0.000119	0.000203	0.000217	0.000042	0.118393	0.000599	0.001157	0.000721	0.000507	0.000906	0.001762	0.001156	544.948895	1567.848411	1970.406	1101.224194	7531921.666
08022017 13:01:03.280226	2	22	Station13-140fps-30sec	85.787927	14.287407	0.135523	13.860213	0.054401	-0.084301	0.051798	-0.081678	0.052603	-0.081908	0.050766	-0.077568	0.052555	-0.080824	0.118781	-0.00024	0.051605	-0.079007	0.055031	-0.079414	0.053168	-0.081205	0.054477	-0.077289	0.053829	-0.080616	0.052631	-0.078698	0.052649	-0.079041	0.051441	-0.07747	0.052036	-0.079185	0.050316	-0.077604	0.051758	-0.079793	0.050078	-0.079988	0.05006	-0.080423	0.000161	0.001114	0.051484	-0.081085	0.052028	-0.083403	0.000083	0.00062	0.001437	0.000154	0.000748	0.000278	0.00082	0.001279	-0.000106	0.000208	0.000235	0.000062	0.120063	0.00061	0.001145	0.000736	0.000521	0.000915	0.001776	0.001165	545.457927	1954.517232	1995.87072	1196.935116	8638659.65
08032017 07:47:06.991028	3	23	Station4_Windoff_5sec	75.625541	14.3241	-0.000067	14.3244	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	535.295541	-0.009166	2062.6704	NaN	NaN
08032017 07:47:15.991028	3	24	Station4_Windoff_5sec	75.624649	14.324	-0.000069	14.32432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	535.294649	-0.009412	2062.656	NaN	NaN
08032017 07:47:30.991028	3	25	Station4_Windoff_5sec	75.629158	14.324	-0.000066	14.3243	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	535.299158	-0.009056	2062.656	NaN	NaN
08032017 07:48:02.991028	3	26	Station4_Windoff_5sec	75.64073	14.32386	-0.000027	14.3241	0.00001	0.000008	-0.000076	-0.000047	0.000022	0.000022	0.000056	0.000008	0.000023	-0.000005	0.081088	0.000007	0.000079	0.000021	0.000035	0.000009	0.000008	-0.000058	-0.00008	-0.000043	0.000086	0.000088	0.000046	0.00002	0.000022	0.000009	-0.000031	0.000034	0.000103	0.000076	0.000086	0.000034	0.000023	-0.000019	0.000051	0.000038	0.000023	0.000066	0.000034	0.00001	0.000009	0.000038	0.000009	0.000009	0.000008	0.000023	0.000022	-0.000005	-0.000019	-0.000005	0.000023	-0.000005	-0.000005	0.000037	0.000009	0.000036	0.081086	0.000023	-0.000019	0.000037	-0.000019	0.000022	0.000052	0.000009	535.31073	-0.003721	2062.63584	NaN	NaN
08032017 07:50:10.991028	3	27	Station4_50fps_5sec	76.60689	14.32092	0.020881	14.3132	0.00786	-0.011269	0.007744	-0.011336	0.007896	-0.011232	0.007776	-0.011245	0.007886	-0.011181	0.093946	0.000022	0.007877	-0.011205	0.007942	-0.011219	0.007742	-0.011325	0.007758	-0.011349	0.008205	-0.011138	0.00768	-0.011221	0.007619	-0.011213	0.007635	-0.011269	0.007886	-0.011157	0.007663	-0.011293	0.007559	-0.011295	0.007453	-0.011206	0.007575	-0.011223	0.00004	0.000001	0.007721	-0.011315	0.007166	-0.011363	0.000026	0.00003	0.000008	0.000005	0.000006	0.000003	0.00002	-0.000043	0.000019	0.000049	0.000017	0.000065	0.093901	0.000024	-0.000029	0.000033	0.000023	0.000016	0.00003	0.000018	536.27689	2.856493	2062.21248	50.485315	299326.8198
08032017 07:50:28.991028	3	28	Station4_50fps_10sec	76.790572	14.3206	0.012526	14.31296	0.007864	-0.011294	0.00767	-0.011358	0.007826	-0.011253	0.007626	-0.011266	0.007854	-0.011182	0.094702	0.000021	0.007961	-0.011215	0.007902	-0.011231	0.007737	-0.011323	0.007671	-0.011369	0.008238	-0.011135	0.007652	-0.01124	0.007621	-0.011221	0.007595	-0.011284	0.007892	-0.011179	0.007606	-0.011317	0.007576	-0.011319	0.007493	-0.011228	0.007588	-0.011241	0.000027	-0.000017	0.007625	-0.011331	0.007048	-0.011371	0.000025	0.000024	-0.000004	0.00001	-0.000001	-0.000002	0.000015	-0.000051	0.000022	0.000046	0.000005	0.000066	0.094638	0.000016	-0.000053	0.000016	0.000017	0.000006	0.000021	0.000009	536.460572	1.713612	2062.1664	39.112739	231777.6821
08032017 07:50:48.991028	3	29	Station4_50fps_15sec	77.005516	14.320453	0.020381	14.31276	0.007795	-0.011261	0.007692	-0.011336	0.007882	-0.011229	0.007726	-0.011242	0.00783	-0.011161	0.095499	0.000022	0.007868	-0.0112	0.007866	-0.011194	0.007725	-0.011292	0.007681	-0.011338	0.008182	-0.011099	0.007688	-0.0112	0.007604	-0.011193	0.007624	-0.01126	0.007871	-0.011139	0.007563	-0.011278	0.007543	-0.011284	0.007477	-0.011193	0.007627	-0.011215	0.000027	-0.000032	0.00767	-0.011307	0.007038	-0.011351	0.00002	0.000019	-0.000015	0.000005	-0.000013	-0.000008	0	-0.000071	0.000015	0.000041	0.000007	0.000069	0.095434	0.000011	-0.000065	0.000011	0.000014	-0.000002	-0.000002	-0.000004	536.675516	2.788066	2062.14528	49.896544	295603.8363
08032017 07:51:17.991028	3	30	Station4_50fps_20sec	77.227225	14.320335	0.016688	14.31257	0.00778	-0.011282	0.007519	-0.011369	0.007846	-0.011264	0.007766	-0.011289	0.007855	-0.011195	0.096249	0.000031	0.007961	-0.01124	0.007848	-0.011229	0.007683	-0.01132	0.00761	-0.011377	0.008204	-0.011131	0.007678	-0.011236	0.007634	-0.011216	0.007622	-0.011294	0.007763	-0.011179	0.007477	-0.011307	0.007281	-0.011309	0.007255	-0.011229	0.007652	-0.011269	0.00003	-0.000038	0.00773	-0.011375	0.007078	-0.011403	0.00003	0.000023	-0.000023	0.000014	-0.000005	0	0.000009	-0.00009	0.000019	0.000028	0.000009	0.000063	0.096177	0.000009	-0.000067	-0.00001	0.00001	-0.000005	-0.000005	-0.000014	536.897225	2.282884	2062.12824	45.161416	267419.9479
08032017 07:51:51.991028	3	31	Station4_50fps_30sec	77.432398	14.318747	2.879174	10.97711	0.007835	-0.011273	0.007701	-0.011335	0.007866	-0.011217	0.007721	-0.011258	0.007841	-0.011168	0.097413	0.000035	0.007919	-0.011206	0.007906	-0.011184	0.007716	-0.011292	0.007702	-0.011356	0.008192	-0.011106	0.007691	-0.011199	0.007623	-0.011195	0.007622	-0.011272	0.007888	-0.011158	0.00759	-0.011288	0.007471	-0.011321	0.007429	-0.011231	0.007625	-0.01126	0.000034	-0.000058	0.007666	-0.011381	0.007059	-0.011404	0.000022	0.000004	-0.000047	0.000009	-0.000032	-0.000014	-0.000015	-0.000109	0.000023	0.000036	0.000007	0.000069	0.097342	-0.000005	-0.000104	-0.000008	0.000007	-0.000027	-0.000043	-0.000031	537.102398	393.871008	2061.89952	577.881733	3605724.299
