Date/Time	Run	TPN	Comment	SC1Mod4/ai0	VWT_Ps	VWT_Q	VWT_PREF	PSI8400_101	PSI8400_102	PSI8400_103	PSI8400_104	PSI8400_105	PSI8400_106	PSI8400_107	PSI8400_108	PSI8400_109	PSI8400_110	PSI8400_111	PSI8400_112	PSI8400_113	PSI8400_114	PSI8400_115	PSI8400_116	PSI8400_117	PSI8400_118	PSI8400_119	PSI8400_120	PSI8400_121	PSI8400_122	PSI8400_123	PSI8400_124	PSI8400_125	PSI8400_126	PSI8400_127	PSI8400_128	PSI8400_129	PSI8400_130	PSI8400_131	PSI8400_132	PSI8400_201	PSI8400_202	PSI8400_203	PSI8400_204	PSI8400_205	PSI8400_206	PSI8400_207	PSI8400_208	PSI8400_209	PSI8400_210	PSI8400_211	PSI8400_212	PSI8400_213	PSI8400_214	PSI8400_215	PSI8400_216	PSI8400_217	PSI8400_218	PSI8400_219	PSI8400_220	PSI8400_221	PSI8400_222	PSI8400_223	PSI8400_224	PSI8400_225	PSI8400_226	PSI8400_227	PSI8400_228	PSI8400_229	PSI8400_230	PSI8400_231	PSI8400_232	T0TS	QTS	PSTS	VTS	RN
				Deg F	PSIA	PSI	PSIA	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	PSI	DegR	PSF	PSFA	Ft/Sec	
08072017 07:29:43.172037	23	175	Station2.5_0deg_50fps_20sec	72.299312	14.274045	0.020888	14.266255	0.007984	-0.01146	0.008149	-0.011096	0.00802	-0.01106	0.007752	-0.011248	0.007935	-0.011174	0.118148	0.000182	0.007833	-0.01118	0.007927	-0.011062	0.007684	-0.011143	0.008083	-0.011156	0.007989	-0.011292	0.007746	-0.011168	0.007664	-0.011256	0.007833	-0.011342	0.007678	-0.011398	0.007689	-0.011346	0.007416	-0.011428	0.007272	-0.011515	0.007559	-0.011611	0.000085	-0.000071	0.007622	-0.011673	0.006913	-0.011662	0.000021	-0.000026	-0.000151	0.000042	-0.000029	-0.000021	-0.00008	-0.000028	0.000063	0.000066	0.000035	0.000021	0.11828	0.000001	0.000021	-0.000025	-0.000015	-0.000054	-0.000066	-0.000041	531.969312	2.857437	2055.46248	50.372926	300093.7902
08072017 07:30:19.172037	23	176	Station2.5_0deg_50fps_30sec	72.412152	14.274143	0.019457	14.266343	0.007995	-0.011435	0.008166	-0.011003	0.00805	-0.011011	0.007752	-0.011163	0.007978	-0.011148	0.118137	0.000186	0.007846	-0.01111	0.007965	-0.011017	0.007694	-0.011092	0.008131	-0.011056	0.00796	-0.011304	0.007751	-0.011128	0.007689	-0.011237	0.007833	-0.011283	0.007679	-0.011392	0.007716	-0.011285	0.007432	-0.011425	0.007277	-0.011506	0.007539	-0.0116	0.000093	-0.000053	0.007596	-0.011652	0.006925	-0.011653	0.000018	-0.000019	-0.000126	0.00004	-0.000019	-0.000021	-0.000063	-0.000003	0.000055	0.000069	0.000036	0.000021	0.118312	0.000014	0.000047	-0.000012	-0.000009	-0.000037	-0.00003	-0.000016	532.082152	2.661713	2055.47664	48.622793	289600.1614
08072017 07:31:24.172037	24	177	Station2.5_0deg_95fps_5sec	72.786611	14.26956	0.071206	14.2444	0.024583	-0.042095	0.024327	-0.04153	0.024539	-0.041504	0.023453	-0.041723	0.023895	-0.041606	0.140021	0.000212	0.024025	-0.041507	0.024295	-0.041468	0.024077	-0.041518	0.024781	-0.041582	0.025339	-0.042058	0.024317	-0.041738	0.023863	-0.04186	0.02385	-0.041945	0.023824	-0.042199	0.023213	-0.042002	0.023234	-0.042208	0.022908	-0.042342	0.023451	-0.042368	0.000057	-0.000049	0.023599	-0.042413	0.02184	-0.042527	-0.00003	-0.000036	-0.000117	0.000004	-0.000024	-0.000028	-0.000079	0.000019	0.000013	0.000055	0.000019	-0.000001	0.140267	0.000024	0.000087	-0.000012	-0.000032	-0.000044	0.000019	-0.000003	532.456611	9.741036	2054.81664	93.018806	554002.642
08072017 07:31:41.172037	24	178	Station2.5_0deg_95fps_10sec	73.186743	14.26988	0.071644	14.24447	0.024601	-0.041948	0.024471	-0.041311	0.024775	-0.041323	0.023634	-0.041548	0.024335	-0.041505	0.139846	0.000255	0.024019	-0.04135	0.024354	-0.041323	0.023891	-0.041359	0.024934	-0.041401	0.02538	-0.041988	0.024264	-0.041609	0.02381	-0.041766	0.024212	-0.041838	0.02402	-0.04213	0.023319	-0.041908	0.022988	-0.042156	0.022605	-0.042284	0.023461	-0.042303	0.000155	0.000077	0.02365	-0.042346	0.021839	-0.042484	0.000082	0.000094	0.000014	0.000098	0.00004	0.000031	0.000011	0.00012	0.000088	0.00015	0.000113	0.00008	0.140123	0.000083	0.000183	0.000058	0.000043	0.000048	0.000129	0.000107	532.856743	9.800899	2054.86272	93.337811	555502.1969
08072017 07:32:00.172037	24	179	Station2.5_0deg_95fps_15sec	73.542328	14.269733	0.07194	14.244573	0.024591	-0.042064	0.024382	-0.041322	0.024492	-0.041336	0.023457	-0.041469	0.02426	-0.041503	0.139551	0.000274	0.024289	-0.041302	0.024506	-0.041284	0.024074	-0.041338	0.02496	-0.041304	0.025423	-0.041986	0.024461	-0.041559	0.024011	-0.041736	0.024342	-0.041748	0.02394	-0.042125	0.023259	-0.041835	0.023088	-0.042125	0.022629	-0.042234	0.023451	-0.042248	0.000153	0.000124	0.023865	-0.042256	0.021853	-0.042403	0.000074	0.000101	0.000062	0.000099	0.000088	0.000066	0.000054	0.000193	0.000093	0.000152	0.000129	0.000083	0.139904	0.000123	0.000259	0.000101	0.000075	0.000079	0.000173	0.000145	533.212328	9.841428	2054.8416	93.562019	556462.6567
08072017 07:32:35.172037	24	180	Station2.5_0deg_95fps_20sec	73.986151	14.27008	0.071339	14.24477	0.024517	-0.041936	0.024428	-0.041061	0.024557	-0.04117	0.02338	-0.041228	0.023951	-0.041386	0.138636	0.000228	0.024113	-0.04109	0.024495	-0.041117	0.023906	-0.041156	0.025006	-0.041054	0.025316	-0.041945	0.024239	-0.04143	0.023874	-0.041655	0.023932	-0.041593	0.02373	-0.042063	0.023122	-0.041664	0.02315	-0.042067	0.022658	-0.042162	0.023258	-0.042155	0.000075	0.000098	0.023567	-0.042119	0.021743	-0.042297	0	0.000054	0.000063	0.000012	0.00006	0.000009	0.000027	0.000213	-0.000017	0.000073	0.00004	-0.000012	0.139077	0.000086	0.000261	0.000072	0.000019	0.000054	0.000213	0.00013	533.656151	9.759141	2054.89152	93.208215	553904.4691
08072017 07:33:11.172037	24	181	Station2.5_0deg_95fps_30sec	74.376969	14.269963	0.066868	14.245143	0.024756	-0.041843	0.024575	-0.040832	0.024705	-0.041028	0.023503	-0.040992	0.024123	-0.041274	0.137628	0.000239	0.024042	-0.040899	0.024721	-0.040973	0.024001	-0.041004	0.025226	-0.040788	0.025223	-0.041911	0.024268	-0.041288	0.023985	-0.041539	0.024088	-0.041413	0.023974	-0.041971	0.023154	-0.041461	0.023324	-0.041968	0.022981	-0.042045	0.023358	-0.04202	0.000133	0.000218	0.023701	-0.041937	0.02192	-0.042158	0.000062	0.000142	0.000214	0.000061	0.00013	0.000047	0.000098	0.000339	0.00003	0.000137	0.000103	0.000039	0.13816	0.000158	0.000377	0.000152	0.000092	0.000163	0.000377	0.000253	534.046969	9.147533	2054.87472	90.277511	536045.7901
08072017 07:34:32.172037	25	182	Station2.5_0deg_140fps_5sec	75.723846	14.26552	0.15158	14.20828	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	535.393846	20.736144	2054.23488	136.005604	806582.2581
08072017 07:35:06.172037	25	183	Station2.5_0deg_140fps_5sec	77.089994	14.26274	0.152943	14.2086	0.052936	-0.089227	0.052228	-0.087361	0.052824	-0.087777	0.05012	-0.087575	0.05165	-0.087839	0.171106	0.000314	0.051771	-0.087429	0.053282	-0.087546	0.052163	-0.08756	0.053799	-0.087558	0.05505	-0.089706	0.052367	-0.088694	0.051823	-0.088946	0.051842	-0.088583	0.051603	-0.089424	0.049715	-0.088615	0.050231	-0.089396	0.049243	-0.089509	0.050179	-0.089428	0.000185	0.000513	0.051207	-0.089314	0.047584	-0.089827	0.000103	0.000324	0.000574	0.000098	0.000327	0.000142	0.000316	0.000702	0.00004	0.000228	0.000195	0.000069	0.171952	0.000346	0.000689	0.000336	0.000188	0.000343	0.000778	0.000524	536.759994	20.922575	2053.83456	136.801335	809100.1212
08072017 07:35:29.172037	25	184	Station2.5_0deg_140fps_10sec	77.754554	14.26173	0.139021	14.20876	0.052579	-0.089228	0.051793	-0.087272	0.052555	-0.087791	0.050152	-0.08748	0.051466	-0.087894	0.169943	0.000195	0.051469	-0.087362	0.05289	-0.087546	0.052002	-0.087572	0.053794	-0.087409	0.054691	-0.089699	0.052459	-0.088592	0.051725	-0.088919	0.051579	-0.088504	0.051448	-0.089468	0.049303	-0.08856	0.050102	-0.089444	0.049586	-0.089522	0.050178	-0.089412	0.00012	0.000483	0.050999	-0.089257	0.046946	-0.089775	0.000003	0.000255	0.000563	0.000021	0.000276	0.000056	0.000258	0.000675	-0.00009	0.000114	0.000086	-0.000047	0.170858	0.000265	0.000669	0.00028	0.00013	0.000318	0.000801	0.000488	537.424554	19.018018	2053.68912	130.528934	770789.7556
08072017 07:35:52.172037	25	185	Station2.5_0deg_140fps_15sec	78.283836	14.261187	0.15386	14.20872	0.052767	-0.089274	0.051947	-0.087203	0.052658	-0.08779	0.050207	-0.087387	0.051486	-0.087901	0.168911	0.000276	0.051131	-0.08731	0.052951	-0.087544	0.051915	-0.087575	0.053895	-0.087303	0.054596	-0.089798	0.052341	-0.088611	0.05181	-0.088958	0.051678	-0.088449	0.051635	-0.089497	0.049425	-0.088492	0.050115	-0.08946	0.049285	-0.089528	0.050043	-0.089423	0.00017	0.000623	0.05113	-0.089238	0.047246	-0.089805	0.000042	0.00033	0.000706	0.000083	0.000392	0.000152	0.000377	0.000821	-0.000038	0.000192	0.000176	0.000044	0.169895	0.000386	0.00082	0.00041	0.000236	0.000436	0.000966	0.000623	537.953836	21.048057	2053.61088	137.36972	810584.8257
08072017 07:36:19.172037	25	186	Station2.5_0deg_140fps_20sec	78.788522	14.26321	0.14566	14.208835	0.052674	-0.08915	0.051875	-0.08699	0.052666	-0.087671	0.049918	-0.08717	0.051134	-0.087813	0.167522	0.000239	0.050934	-0.087135	0.053007	-0.087432	0.051795	-0.087461	0.053912	-0.087077	0.054455	-0.08977	0.052162	-0.088504	0.051638	-0.088883	0.051435	-0.088282	0.051344	-0.089433	0.049312	-0.088324	0.050004	-0.089421	0.049233	-0.089443	0.049931	-0.089309	0.000173	0.000676	0.050965	-0.08908	0.047153	-0.089669	0.00004	0.000368	0.000794	0.000069	0.000412	0.000144	0.000411	0.000896	-0.000067	0.000192	0.000174	0.000019	0.168591	0.000402	0.000873	0.000448	0.000254	0.000493	0.001084	0.000699	538.458522	19.926288	2053.90224	133.722628	788313.5078
